,coef_name,coef,se,model,effect
3,086,-0.045598208851432516,0.0056124575370342005,utility,scenario
4,128,-0.012805443240300368,0.00569718595286154,utility,scenario
5,186,-0.014430271480187154,0.006085195530762762,utility,scenario
6,197,0.005437253523412219,0.006030056425092973,utility,scenario
0,const,2.777182219836759,0.005121965705221226,affect,scenario
1,126,0.0033097128798758764,0.005555348666095628,affect,scenario
2,139,-0.010454740541473965,0.005684287715032531,affect,scenario
3,180,-0.019064807056775032,0.006116371934157272,affect,scenario
0,const,2.777182219836759,0.005005147570148905,moral_judgment,scenario
1,112,-0.022946129025228384,0.005130750926967777,moral_judgment,scenario
2,135,0.004950255592397403,0.005779383532696937,moral_judgment,scenario
3,145,0.08145730614920796,0.006766899633919473,moral_judgment,scenario
4,154,-0.006051406739775396,0.006668703936761899,moral_judgment,scenario
0,const,2.777182219836759,0.004984773518825381,exp_cult_recall_narrative,scenario
1,028,0.002362590967472447,0.006195973899210487,exp_cult_recall_narrative,scenario
2,030,0.00015539451290353008,0.006025789306654276,exp_cult_recall_narrative,scenario
3,100,0.0827751131813241,0.004998268072862938,exp_cult_recall_narrative,scenario
4,111,-0.020461547887056536,0.005321975808549442,exp_cult_recall_narrative,scenario
0,const,2.777182219836759,0.00509949330165149,reading_narrative,scenario
1,009,0.016051136046838402,0.00721620086384869,reading_narrative,scenario
2,093,0.043784455101647315,0.007566309681443156,reading_narrative,scenario
3,095,-0.0012840962903832229,0.007240734856684097,reading_narrative,scenario
4,162,-0.03644854043419856,0.007109946234157726,reading_narrative,scenario
0,const,2.777182219836759,0.005120133587240787,wm_narrative,scenario
1,020,-0.02589831610165201,0.005231652111654729,wm_narrative,scenario
2,179,0.009636899524454621,0.00523165211165473,wm_narrative,scenario
0,const,2.777182219836759,0.005088522347438787,utility_probability,scenario
1,002,-0.0017624766827773405,0.005625248613732119,utility_probability,scenario
2,086,-0.04234420401989402,0.005623195597362605,utility_probability,scenario
3,128,-0.01905316310426132,0.0050908183556766205,utility_probability,scenario
0,const,2.777182219836759,0.005085123697203477,utility_value,scenario
1,010,-0.04088385731357193,0.005336649318365832,utility_value,scenario
2,186,-0.024919878261687484,0.005609108565731675,utility_value,scenario
3,197,0.0074178166732420565,0.00579049001259225,utility_value,scenario
0,const,2.777182219836759,0.005015359249808694,moral_judgment_social,scenario
1,145,0.07850356841591587,0.006494961301325212,moral_judgment_social,scenario
2,154,-0.005567505578585725,0.006494961301325215,moral_judgment_social,scenario
0,const,2.777182219836759,0.005102664519081851,moral_judgment_mj,scenario
1,112,-0.008617323902829939,0.005112635827944158,moral_judgment_mj,scenario
2,135,0.038275549116151164,0.005112635827944155,moral_judgment_mj,scenario
0,const,2.777182219836759,0.0049917557567547705,exp_cult_recall_narrative_cult_id_bias,scenario
1,030,-0.0036636933061814057,0.005003645122957129,exp_cult_recall_narrative_cult_id_bias,scenario
2,100,0.08230187181799366,0.005003645122957129,exp_cult_recall_narrative_cult_id_bias,scenario
0,const,2.777182219836759,0.00512787288904367,exp_cult_recall_narrative_recall,scenario
1,028,0.005578680168252123,0.005455766576331311,exp_cult_recall_narrative_recall,scenario
2,111,-0.018086580920555553,0.00545576657633131,exp_cult_recall_narrative_recall,scenario
